CTUID,Population_2021,Dwellings_2021,Households_2021,Labour_Force_2021,Median_Individual_Income_2020_(before_tax),Median_Household_Income_2020_(before_tax)
5050001.04,2865,1238,1195,2455,40800,86000
5050001.05,5882,2027,1975,4805,41200,112000
5050001.06,6083,2398,2340,5075,42800,93000
5050001.07,4075,1472,1410,3370,40800,98000
5050001.08,4481,1536,1535,3780,42000,110000
5050001.09,5314,2279,2275,4275,30200,56000
5050001.10,3111,1244,1220,2550,34800,72000
5050002.01,3030,1177,1160,2490,60800,134000
5050002.02,3445,1341,1315,2780,52800,117000
5050002.04,1346,639,650,1285,68000,138000
5050002.05,5194,2036,1935,4190,36000,77000
5050002.06,2666,1063,1075,2350,54800,123000
5050003.00,4692,2121,2045,3895,44800,82000
5050004.00,4147,2183,2055,3620,34800,63200
5050005.00,6553,3113,2855,5590,45600,87000
5050006.00,4014,1570,1465,3260,74500,164000
5050007.01,2463,1195,1170,2065,53200,86000
5050007.02,4660,2091,1655,3375,31000,59600
5050007.03,3723,1482,1440,3170,56000,125000
5050008.00,4836,2164,2160,4105,44000,85000
5050009.00,3313,1482,1435,2870,53200,101000
5050010.00,3975,1822,1670,3150,32400,55600
5050011.01,7865,3442,3295,6220,43200,80000
5050011.03,4426,2537,2360,4130,38400,69500
5050011.04,4296,1917,1840,3510,44000,78500
5050012.00,4410,1708,1625,3490,31600,64500
5050013.00,5848,3086,2885,4935,42000,72000
5050014.00,1891,913,850,1445,26400,42400
5050015.00,6273,3528,3075,5655,45600,83000
5050016.00,4613,1873,1810,3765,75500,164000
5050017.00,4126,1675,1570,3375,67000,150000
5050018.00,4451,2201,2045,3615,66000,111000
5050019.00,4029,1947,1775,3480,66500,121000
5050020.01,5720,2858,2685,5065,36800,68000
5050020.02,2901,1149,1065,2430,49200,121000
5050021.00,6369,2908,2750,5055,42000,74500
5050022.00,6015,3005,2700,4690,32800,52000
5050023.01,6244,2931,2795,5460,42800,83000
5050023.02,3970,1697,1695,3280,54800,107000
5050024.00,3197,1369,1295,2565,45600,96000
5050025.00,5749,2069,2020,4230,55200,114000
5050026.00,5542,2333,2210,4640,40800,89000
5050027.00,3896,1805,1750,3145,40000,71500
5050028.00,6826,2824,2730,5625,42000,88000
5050029.00,5094,2382,2305,4275,36000,63600
5050030.00,6447,3775,3545,5700,40000,62400
5050031.00,5554,3281,3175,5070,45200,69000
5050032.01,3622,1855,1830,3065,43600,66500
5050032.02,6024,2727,2590,4875,66000,123000
5050033.01,5213,2293,2180,4175,64500,119000
5050033.02,3630,1922,1830,3095,64000,101000
5050034.00,3564,1369,1335,2840,85000,176000
5050035.00,4835,3073,2815,4410,48800,74000
5050036.00,3442,1631,1540,2965,73500,135000
5050037.01,4881,4052,3390,4465,51600,65000
5050037.02,4059,2840,2690,3800,46800,64000
5050038.00,6233,4680,4170,5650,46400,63200
5050039.00,2774,1626,1435,2305,45200,76000
5050040.00,4502,2819,2635,4245,53600,78500
5050041.00,4187,2267,2130,3495,42800,67500
5050042.00,3579,2339,2015,3095,32800,47600
5050043.00,4802,2627,2440,3925,59200,90000
5050044.00,2525,1021,975,2015,78000,166000
5050045.01,3710,1842,1795,3220,72000,115000
5050045.02,5351,3157,2815,4645,67000,100000
5050046.00,5415,3500,3240,4860,48000,70000
5050047.00,847,569,530,780,76000,110000
5050048.00,5501,4057,3545,5240,62000,86000
5050049.00,3238,2274,2035,3135,58400,78500
5050050.00,770,616,465,710,38800,63600
5050051.00,5131,3629,2795,4760,31000,53200
5050052.00,5079,3160,2820,4675,50800,79500
5050053.00,4418,3316,2720,3800,35600,53600
5050054.00,3059,2237,1790,2595,49200,72000
5050055.00,2029,1238,1110,1755,57600,79500
5050056.00,4023,2073,1955,3475,37600,64500
5050057.00,2122,929,855,1430,72000,114000
5050058.00,3512,1843,1715,3030,71000,118000
5050059.00,3429,1519,1510,2860,54800,105000
5050060.00,4641,2835,2745,4220,40400,59200
5050061.00,5549,2614,2435,4500,38000,69000
5050062.01,6158,2726,2610,5120,42400,82000
5050062.02,2737,1219,1110,2085,50400,88000
5050100.00,3218,1826,1625,2765,32800,52000
5050101.00,3142,2059,1725,2700,40800,62400
5050102.00,3325,2022,1920,3005,36800,55600
5050103.00,4717,2512,2285,3860,41600,69000
5050104.00,3355,2133,1930,3025,48000,75000
5050110.00,1888,781,640,1590,88000,250000
5050120.01,1643,472,430,1065,86000,216000
5050120.02,3985,1521,1525,3365,51600,109000
5050120.03,5357,2091,2045,4385,52000,109000
5050121.01,4557,1876,1825,3825,47200,97000
5050121.02,3189,1445,1395,2605,38000,67500
5050122.01,4146,1404,1335,3055,34400,72500
5050122.02,6652,2500,2445,5495,43200,96000
5050122.03,5132,2513,2450,4505,49600,90000
5050123.01,5714,2148,2060,4490,35200,76000
5050123.03,3638,1272,1230,3050,44800,119000
5050123.04,5269,1907,1885,4325,43200,99000
5050124.01,3387,1277,1250,2610,48800,100000
5050124.02,3982,1859,1870,3520,52400,94000
5050124.03,4779,1801,1770,3710,62400,130000
5050124.04,3112,1151,1145,2605,53600,115000
5050125.01,4803,1806,1780,3815,58000,122000
5050125.02,3370,1397,1360,2685,45200,86000
5050125.03,997,198,175,350,53600,102000
5050125.04,3709,1371,1365,3055,64500,147000
5050125.05,5266,1903,1865,4250,56400,127000
5050125.07,4415,1634,1585,3665,56000,124000
5050125.08,4687,1814,1800,3935,53200,117000
5050125.09,3591,1395,1380,2950,50400,105000
5050125.10,8441,2875,2800,6640,63600,147000
5050125.11,5385,1864,1835,4315,56800,133000
5050126.04,10128,3709,3550,7775,56400,126000
5050126.05,6327,2095,2070,4980,64000,156000
5050126.06,6255,2262,2210,5010,60800,132000
5050126.07,7703,2265,2245,5890,53600,141000
5050126.08,3752,1259,1220,2775,52400,122000
5050126.09,2634,871,840,1980,48800,122000
5050127.00,4007,1655,1460,3085,49200,97000
