CTUID,Population_2021,Dwellings_2021,Households_2021,Labour_Force_2021,Median_Individual_Income_2020_(before_tax),Median_Household_Income_2020_(before_tax)
5350001.00,599,253,245,480,57200,137000
5350002.00,604,294,285,560,40800,85000
5350003.00,457,279,270,455,59200,89000
5350004.00,6306,3620,3270,5325,33200,50000
5350005.00,6957,4235,3720,6125,40000,66000
5350006.00,119,1,,,,
5350007.01,3402,1838,1720,2845,36000,57200
5350007.02,4422,2639,2305,3830,34400,53600
5350008.01,8480,5998,5390,7990,70000,97000
5350008.02,11591,7827,7020,10725,61200,90000
5350009.00,520,176,180,260,29800,45200
5350010.01,5611,3400,3255,5140,70500,110000
5350010.02,7468,4713,4265,6645,62800,97000
5350011.01,9592,7391,6385,9035,71000,97000
5350011.02,9746,7605,6690,9515,65000,88000
5350011.03,6391,5157,3995,5895,61600,84000
5350012.01,13554,8969,7895,12370,55200,84000
5350012.03,8957,6005,5200,8385,63200,98000
5350012.04,5688,3967,3460,5310,61200,95000
5350013.01,6820,4891,4285,6330,64000,91000
5350013.02,10439,7001,6130,9750,67000,100000
5350014.00,2382,1663,1335,2040,60000,92000
5350015.00,4922,3688,3015,4580,66000,94000
5350016.00,11144,7596,6845,10160,66500,95000
5350017.01,4787,3196,2905,4310,63600,94000
5350017.02,8710,5537,5185,8050,45200,69500
5350018.00,3633,2167,1945,3145,66000,105000
5350019.00,3269,1456,1415,2755,39200,80000
5350020.00,2298,1036,1005,2015,74000,147000
5350021.00,5192,2847,2595,4380,52400,89000
5350022.00,3847,1582,1480,3105,65000,149000
5350023.00,3374,1506,1410,2815,66000,134000
5350024.00,6891,3148,2940,5535,61200,115000
5350025.00,3553,1737,1630,2875,50000,84000
5350026.00,6409,3027,2735,5250,49200,98000
5350027.00,4405,1889,1770,3645,42000,98000
5350028.01,1290,714,675,1165,73000,118000
5350028.02,5868,2925,2705,4815,58400,109000
5350029.00,6722,3110,2915,5670,41600,92000
5350030.00,6926,3637,3445,6275,39200,76500
5350031.00,5871,3263,2670,4735,28800,52000
5350032.00,6042,4010,3360,5160,30400,41600
5350033.00,5515,3557,3085,4590,27200,36400
5350034.01,5337,4071,3110,4670,39200,62400
5350034.02,7992,5993,4930,7395,40000,61600
5350035.00,10506,7669,6120,9635,42000,66000
5350036.00,5685,3909,3425,5350,39200,65500
5350037.00,4802,2939,2335,4210,33600,61200
5350038.00,3605,2046,1655,3135,27400,51600
5350039.00,4505,2279,2115,4175,29200,63600
5350040.00,4274,1930,1735,3810,36000,90000
5350041.00,3324,1632,1480,2945,42000,97000
5350042.00,4423,2179,1965,3815,42000,86000
5350043.00,3670,1874,1660,3240,44000,96000
5350044.01,5016,2629,2385,4435,48400,95000
5350044.02,4255,2994,2695,3940,55200,80000
5350045.00,3247,1601,1475,2795,41200,85000
5350046.00,3151,1474,1330,2815,36800,83000
5350047.02,3511,2046,1765,3065,31800,54400
5350047.03,1014,575,560,955,62800,115000
5350047.04,2773,1198,1135,2290,48800,114000
5350048.00,3353,1630,1450,2715,46800,93000
5350049.00,3351,1477,1355,2705,52800,106000
5350050.01,8648,4533,4230,7380,61600,103000
5350050.03,1085,607,585,975,70000,106000
5350050.04,4907,2300,2145,4130,50000,90000
5350051.00,4979,2376,2135,4090,54000,102000
5350052.00,4074,2022,1865,3455,54400,104000
5350053.00,5823,2892,2660,5140,42000,84000
5350054.00,5453,2948,2610,4860,39200,72500
5350055.00,2691,1442,1305,2455,44800,87000
5350056.00,4436,2200,1955,3935,43200,94000
5350057.00,2287,1249,1115,2115,42000,84000
5350058.00,3757,2048,1800,3410,42800,85000
5350059.00,3843,1639,1425,2905,43200,96000
5350060.00,2550,1665,1330,2315,45200,80000
5350061.00,1202,533,485,710,34000,44400
5350062.01,4843,3148,2650,3880,45200,64000
5350062.03,4224,3208,2505,3825,40800,62400
5350062.04,8524,6535,5430,8215,36800,52800
5350063.03,4869,3604,3240,4700,50400,70000
5350063.04,4778,3507,3215,4865,36800,53600
5350063.05,6551,5240,4195,6105,42800,60400
5350063.06,6217,4628,4020,5750,40400,57200
5350064.00,4963,3372,2965,4565,50400,80000
5350065.01,2650,1872,1435,2415,40400,60800
5350065.02,11120,5692,5135,9390,29400,50400
5350066.00,7062,4650,4235,6595,42400,67000
5350067.00,1692,843,770,1465,73500,153000
5350068.00,2451,1321,1200,2060,54000,101000
5350069.00,4847,1983,1865,3960,54400,135000
5350070.00,3302,1781,1635,2770,52400,83000
5350071.00,3342,1489,1410,2775,53600,109000
5350072.01,4509,1973,1885,3740,34400,73000
5350072.02,2985,1299,1215,2475,46800,106000
5350073.00,2478,1068,1040,2205,38800,94000
5350074.00,3723,1683,1605,3210,42800,90000
5350075.00,4014,1817,1695,3110,43200,89000
5350076.00,4237,1870,1775,3360,48800,97000
5350077.00,4493,1923,1825,3655,53600,110000
5350078.00,6282,3121,2885,5085,49200,87000
5350079.00,7424,2997,2925,5845,56800,126000
5350080.01,3707,1717,1635,3210,47600,93000
5350080.02,4642,2349,2065,3960,33600,63600
5350081.00,2848,1154,1060,2305,49600,112000
5350082.00,2647,1083,1065,2210,50400,115000
5350083.00,3869,1921,1785,3265,40400,76500
5350084.00,3552,1558,1500,3095,54800,118000
5350085.00,4160,2347,2145,3490,48400,76000
5350086.00,2528,957,875,2090,87000,278000
5350087.00,4814,2608,2430,4360,76500,151000
5350088.00,3127,2129,1835,2885,55200,90000
5350089.00,5349,4313,3095,4580,60400,84000
5350090.00,4020,2516,2370,3755,62400,95000
5350091.01,5739,3901,3260,5055,54800,82000
5350091.02,3421,2260,1910,3015,46400,68500
5350092.00,6818,4125,3485,6125,50400,84000
5350093.00,5358,2481,2210,4335,48000,102000
5350094.00,4699,2141,2000,4305,39200,90000
5350095.00,2913,1401,1235,2435,40800,88000
5350096.01,1610,716,665,1405,37600,93000
5350096.02,3156,1557,1405,2875,38400,85000
5350097.01,3929,1710,1525,3380,36400,81000
5350097.03,2078,1370,1210,1955,36000,54800
5350097.04,5031,2481,2260,4340,41200,83000
5350098.00,6976,3231,3000,5925,41600,91000
5350099.00,6282,3371,3080,5465,43200,74500
5350100.00,2961,1552,1415,2405,51600,89000
5350101.00,3246,1653,1560,2855,50000,91000
5350102.02,4561,3199,2650,4080,43200,67000
5350102.03,3576,2173,2065,3225,48000,76000
5350102.04,706,311,290,580,56000,110000
5350102.05,842,358,325,610,56000,114000
5350103.00,6195,2777,2690,5115,65000,125000
5350104.00,5476,2135,2085,4570,65000,150000
5350105.00,4318,1921,1765,3555,49200,103000
5350106.00,3680,1427,1290,3155,37600,100000
5350107.00,4851,1867,1735,4145,38000,99000
5350108.00,5829,2678,2460,4965,33200,68500
5350109.00,5470,2382,2190,4505,44000,102000
5350110.00,3491,1544,1410,2985,40000,90000
5350111.00,2442,950,900,2120,38800,101000
5350112.00,4761,1995,1845,4050,40000,93000
5350113.00,2521,1189,1055,2205,43200,93000
5350114.00,5164,2564,2325,4240,42800,79500
5350115.00,4219,1737,1655,3450,38000,85000
5350116.00,4445,1982,1790,3345,49600,93000
5350117.00,2518,1416,1275,2180,61200,112000
5350118.00,3995,2187,2050,3685,59600,104000
5350119.00,4856,2782,2490,4310,60400,102000
5350120.00,1418,679,615,1130,81000,178000
5350121.00,3183,2088,1710,2720,70500,114000
5350122.00,6199,3791,3485,5680,62000,97000
5350123.00,2377,1484,1400,2055,48400,70000
5350124.00,5529,3605,3195,4865,61600,92000
5350125.00,4270,1610,1545,3490,83000,258000
5350126.00,4164,1736,1705,3440,69000,144000
5350127.00,5293,2246,2095,4160,63200,134000
5350128.02,12611,8109,6890,10970,52400,82000
5350128.04,4772,3145,2995,4435,54000,80000
5350128.05,1127,519,490,875,56800,102000
5350128.06,4870,3114,2815,4265,48400,73500
5350129.00,5642,2780,2525,4935,58800,110000
5350130.00,3355,1349,1240,2875,70500,196000
5350131.00,5258,2503,2270,4400,62400,118000
5350132.00,5350,2127,2000,4310,49600,119000
5350133.00,7082,3441,3250,6095,42000,77500
5350134.00,2911,1070,1040,2270,69000,170000
5350135.00,6782,3909,3470,5750,51600,82000
5350136.01,7267,4719,4535,7060,45600,70000
5350136.02,8740,6747,4895,7510,46000,70000
5350137.00,6916,3639,3370,5990,51200,89000
5350138.00,3010,1218,1140,2575,64500,194000
5350139.01,4316,2091,1960,3685,60800,112000
5350139.02,2440,945,865,2010,68000,198000
5350140.00,2341,835,785,1970,76500,286000
5350141.01,4493,1734,1705,3680,70000,168000
5350141.02,4653,1687,1570,3575,69000,188000
5350142.00,5589,2316,2185,4450,67000,151000
5350150.00,4210,1659,1580,3410,66500,164000
5350151.00,3756,1580,1530,3015,35200,66000
5350152.00,4653,1847,1750,3545,56800,130000
5350153.00,4460,1761,1665,3925,36000,88000
5350154.00,6192,2905,2780,5355,39600,75000
5350155.00,3080,1317,1180,2475,31600,59600
5350156.01,5700,2373,2335,4780,29200,55200
5350156.02,2810,1120,1070,2375,35200,78000
5350157.00,2716,1117,1005,2210,34000,72000
5350158.00,3036,1421,1350,2705,30200,57600
5350159.01,3506,1403,1210,2905,34400,83000
5350159.02,4865,1899,1815,4160,35600,88000
5350160.00,3152,1235,1135,2715,36800,89000
5350161.00,6885,2723,2575,5870,37200,86000
5350162.00,4846,2081,1915,4095,36400,77000
5350163.00,4308,1909,1740,3600,40400,85000
